Time,Voltage_1,Time 1,Voltage_2,Time 2,Voltage_0,SBP,DBP,MBP
16:48:16.176,70.898976,16:48:16.176,36.962157,16:48:16.176,6.150834,122,45,65
16:48:16.177,63.672629,16:48:16.177,37.046577,16:48:16.177,6.150505,122,45,65
16:48:16.178,57.121642,16:48:16.178,37.130997,16:48:16.178,6.14919,122,45,65
16:48:16.179,53.930568,16:48:16.179,37.282953,16:48:16.179,6.144587,122,45,65
16:48:16.180,50.688842,16:48:16.180,37.367373,16:48:16.180,6.129133,122,45,65
16:48:16.181,46.011976,16:48:16.181,37.502444,16:48:16.181,6.127818,122,45,65
16:48:16.182,42.01047,16:48:16.182,37.434908,16:48:16.182,6.125517,122,45,65
16:48:16.183,39.444104,16:48:16.183,37.418024,16:48:16.183,6.137682,122,45,65
16:48:16.184,38.886932,16:48:16.184,37.40114,16:48:16.184,6.149848,122,45,65
16:48:16.185,40.186999,16:48:16.185,37.418024,16:48:16.185,6.146231,122,45,65
16:48:16.186,42.550758,16:48:16.186,37.40114,16:48:16.186,6.140313,122,45,65
16:48:16.187,46.02886,16:48:16.187,37.350489,16:48:16.187,6.138011,122,45,65
16:48:16.188,49.996598,16:48:16.188,37.266069,16:48:16.188,6.133079,122,45,65
16:48:16.189,54.487739,16:48:16.189,37.350489,16:48:16.189,6.13275,122,45,65
16:48:16.190,59.333444,16:48:16.190,37.367373,16:48:16.190,6.133079,122,45,65
16:48:16.191,64.297337,16:48:16.191,37.350489,16:48:16.191,6.120585,122,45,65
16:48:16.192,68.41703,16:48:16.192,37.536212,16:48:16.192,6.108748,122,45,65
16:48:16.193,71.743175,16:48:16.193,37.806356,16:48:16.193,6.111707,122,45,65
16:48:16.194,74.292657,16:48:16.194,37.806356,16:48:16.194,6.120256,122,45,65
16:48:16.195,76.200548,16:48:16.195,37.90766,16:48:16.195,6.141628,122,45,65
16:48:16.196,77.112283,16:48:16.196,37.873892,16:48:16.196,6.14097,122,45,65
16:48:16.197,77.112283,16:48:16.197,38.042732,16:48:16.197,6.139655,122,45,65
16:48:16.198,76.065476,16:48:16.198,38.0765,16:48:16.198,6.135052,122,45,65
16:48:16.199,74.022514,16:48:16.199,38.110268,16:48:16.199,6.133079,122,45,65
16:48:16.200,71.202888,16:48:16.200,38.312876,16:48:16.200,6.123215,122,45,65
16:48:16.201,67.893626,16:48:16.201,38.599904,16:48:16.201,6.110063,122,45,65
16:48:16.202,64.347989,16:48:16.202,38.616788,16:48:16.202,6.107433,122,45,65
16:48:16.203,61.275103,16:48:16.203,38.650556,16:48:16.203,6.106775,122,45,65
16:48:16.204,59.367212,16:48:16.204,38.58302,16:48:16.204,6.123873,122,45,65
16:48:16.205,59.282792,16:48:16.205,38.886932,16:48:16.205,6.133079,122,45,65
16:48:16.206,60.228296,16:48:16.206,39.123308,16:48:16.206,6.131106,122,45,65
16:48:16.207,61.764739,16:48:16.207,39.140192,16:48:16.207,6.128147,122,45,65
16:48:16.208,63.453138,16:48:16.208,39.275264,16:48:16.208,6.125846,122,45,65
16:48:16.209,65.32726,16:48:16.209,39.663595,16:48:16.209,6.12453,122,45,65
16:48:16.210,66.931239,16:48:16.210,39.764899,16:48:16.210,6.124202,122,45,65
16:48:16.211,68.518334,16:48:16.211,39.916855,16:48:16.211,6.126174,122,45,65
16:48:16.212,69.936589,16:48:16.212,40.153231,16:48:16.212,6.125188,122,45,65
16:48:16.213,72.283463,16:48:16.213,40.440259,16:48:16.213,6.114009,122,45,65
16:48:16.214,75.592724,16:48:16.214,40.558447,16:48:16.214,6.100857,122,45,65
16:48:16.215,78.598074,16:48:16.215,40.642867,16:48:16.215,6.101515,122,45,65
16:48:16.216,80.472196,16:48:16.216,40.777939,16:48:16.216,6.106447,122,45,65
16:48:16.217,81.519003,16:48:16.217,41.014315,16:48:16.217,6.108748,122,45,65
16:48:16.218,81.721611,16:48:16.218,41.233807,16:48:16.218,6.126174,122,45,65
16:48:16.219,80.505964,16:48:16.219,41.453299,16:48:16.219,6.135052,122,45,65
16:48:16.220,77.99025,16:48:16.220,41.774094,16:48:16.220,6.13275,122,45,65
16:48:16.221,74.832945,16:48:16.221,42.213078,16:48:16.221,6.128805,122,45,65
16:48:16.222,71.202888,16:48:16.222,42.77025,16:48:16.222,6.12453,122,45,65
16:48:16.223,67.775438,16:48:16.223,43.175466,16:48:16.223,6.121242,122,45,65
16:48:16.224,66.00262,16:48:16.224,43.698869,16:48:16.224,6.11927,122,45,65
16:48:16.225,63.520673,16:48:16.225,44.610605,16:48:16.225,6.120914,122,45,65
16:48:16.226,61.443943,16:48:16.226,45.741832,16:48:16.226,6.107433,122,45,65
16:48:16.227,60.734815,16:48:16.227,46.805524,16:48:16.227,6.098884,122,45,65
16:48:16.228,60.937423,16:48:16.228,47.717259,16:48:16.228,6.09724,122,45,65
16:48:16.229,61.984231,16:48:16.229,48.831603,16:48:16.229,6.094281,122,45,65
16:48:16.230,63.537557,16:48:16.230,49.45631,16:48:16.230,6.101843,122,45,65
16:48:16.231,65.563636,16:48:16.231,49.642034,16:48:16.231,6.125846,122,45,65
16:48:16.232,67.539063,16:48:16.232,49.827758,16:48:16.232,6.128476,122,45,65
16:48:16.233,69.953473,16:48:16.233,50.80703,16:48:16.233,1.129104,122,45,65
16:48:16.234,72.199043,16:48:16.234,51.668113,16:48:16.234,0.845022,122,45,65
16:48:16.235,73.07701,16:48:16.235,51.870721,16:48:16.235,0.521155,122,45,65
16:48:16.236,72.891286,16:48:16.236,51.296665,16:48:16.236,0.208468,122,45,65
16:48:16.237,72.384767,16:48:16.237,50.790146,16:48:16.237,-0.059832,122,45,65
16:48:16.238,71.101584,16:48:16.238,50.351162,16:48:16.238,-0.187406,122,45,65
16:48:16.239,69.548257,16:48:16.239,49.760222,16:48:16.239,-0.262701,122,45,65
16:48:16.240,67.792322,16:48:16.240,49.439426,16:48:16.240,-0.318925,122,45,65
16:48:16.241,66.323415,16:48:16.241,49.777106,16:48:16.241,-0.360683,122,45,65
16:48:16.242,64.955812,16:48:16.242,50.030366,16:48:16.242,-0.388631,122,45,65
16:48:16.243,64.499945,16:48:16.243,49.642034,16:48:16.243,-0.387644,122,45,65
16:48:16.244,63.993425,16:48:16.244,49.067979,16:48:16.244,-0.373177,122,45,65
16:48:16.245,62.895966,16:48:16.245,49.219934,16:48:16.245,-0.341613,122,45,65
16:48:16.246,61.140031,16:48:16.246,49.523846,16:48:16.246,-0.304458,122,45,65
16:48:16.247,58.387941,16:48:16.247,49.62515,16:48:16.247,-0.255139,122,45,65
16:48:16.248,54.538391,16:48:16.248,49.912178,16:48:16.248,-0.1999,122,45,65
16:48:16.249,50.55377,16:48:16.249,50.908333,16:48:16.249,-0.139401,122,45,65
16:48:16.250,46.1977,16:48:16.250,51.499273,16:48:16.250,-0.077916,122,45,65
16:48:16.251,41.92605,16:48:16.251,51.600577,16:48:16.251,-0.011827,122,45,65
16:48:16.252,38.093384,16:48:16.252,52.039561,16:48:16.252,0.004284,122,45,65
16:48:16.253,35.239989,16:48:16.253,52.698036,16:48:16.253,0.003297,122,45,65
16:48:16.254,34.243834,16:48:16.254,53.187672,16:48:16.254,0.001325,122,45,65
16:48:16.255,34.56463,16:48:16.255,53.626656,16:48:16.255,0.003626,122,45,65
