Time,Voltage_1,Time 1,Voltage_2,Time 2,Voltage_0
14:59:27.502,3.211052,14:59:27.502,63.605093,14:59:27.502,0.00264
14:59:27.503,3.177284,14:59:27.503,63.925889,14:59:27.503,0.00264
14:59:27.504,3.177284,14:59:27.504,63.875237,14:59:27.504,0.003297
14:59:27.505,3.177284,14:59:27.505,63.588209,14:59:27.505,0.00264
14:59:27.506,3.211052,14:59:27.506,63.571325,14:59:27.506,0.00264
14:59:27.507,3.211052,14:59:27.507,63.909005,14:59:27.507,0.00264
14:59:27.508,3.177284,14:59:27.508,63.790817,14:59:27.508,0.003626
14:59:27.509,3.194168,14:59:27.509,63.537557,14:59:27.509,0.00264
14:59:27.510,3.278588,14:59:27.510,63.486905,14:59:27.510,0.003297
14:59:27.511,3.227936,14:59:27.511,63.790817,14:59:27.511,0.002969
14:59:27.512,3.24482,14:59:27.512,63.740165,14:59:27.512,0.003297
14:59:27.513,3.295472,14:59:27.513,63.453138,14:59:27.513,0.004284
14:59:27.514,3.295472,14:59:27.514,63.301182,14:59:27.514,0.003626
14:59:27.515,3.1604,14:59:27.515,63.621977,14:59:27.515,0.003626
14:59:27.516,3.177284,14:59:27.516,63.605093,14:59:27.516,0.001982
14:59:27.517,3.211052,14:59:27.517,63.351834,14:59:27.517,0.002311
14:59:27.518,3.177284,14:59:27.518,63.33495,14:59:27.518,0.00264
14:59:27.519,3.109748,14:59:27.519,63.554441,14:59:27.519,0.002969
14:59:27.520,3.126632,14:59:27.520,63.588209,14:59:27.520,0.002311
14:59:27.521,3.109748,14:59:27.521,63.301182,14:59:27.521,0.002969
14:59:27.522,3.109748,14:59:27.522,63.233646,14:59:27.522,0.00264
14:59:27.523,3.042212,14:59:27.523,63.503789,14:59:27.523,0.001982
14:59:27.524,2.99156,14:59:27.524,63.554441,14:59:27.524,0.00264
14:59:27.525,3.042212,14:59:27.525,63.16611,14:59:27.525,0.002969
14:59:27.526,3.025328,14:59:27.526,63.182994,14:59:27.526,0.00264
14:59:27.527,2.924024,14:59:27.527,63.385602,14:59:27.527,0.001653
14:59:27.528,3.008444,14:59:27.528,63.503789,14:59:27.528,0.003297
14:59:27.529,3.008444,14:59:27.529,63.098574,14:59:27.529,0.001653
14:59:27.530,3.008444,14:59:27.530,63.216762,14:59:27.530,0.00264
14:59:27.531,3.059096,14:59:27.531,63.368718,14:59:27.531,0.004612
14:59:27.532,3.042212,14:59:27.532,63.402486,14:59:27.532,0.004284
14:59:27.533,3.07598,14:59:27.533,63.182994,14:59:27.533,0.00264
14:59:27.534,3.126632,14:59:27.534,63.098574,14:59:27.534,0.003626
14:59:27.535,3.042212,14:59:27.535,63.25053,14:59:27.535,0.003297
14:59:27.536,3.025328,14:59:27.536,63.385602,14:59:27.536,0.002969
14:59:27.537,3.092864,14:59:27.537,63.031038,14:59:27.537,0.003297
14:59:27.538,3.025328,14:59:27.538,62.99727,14:59:27.538,0.003626
14:59:27.539,3.042212,14:59:27.539,63.199878,14:59:27.539,0.00264
14:59:27.540,2.99156,14:59:27.540,63.351834,14:59:27.540,0.003626
14:59:27.541,3.059096,14:59:27.541,63.047922,14:59:27.541,0.001653
14:59:27.542,3.092864,14:59:27.542,63.014154,14:59:27.542,0.002969
