Time,Voltage_0,Time 1,Voltage_1,Time 2,Voltage_2
12:58:10.840,0.001982,12:58:10.840,0.030259,12:58:10.840,0.154545
12:58:10.841,0.002311,12:58:10.841,0.05459,12:58:10.841,0.150599
12:58:10.842,0.001982,12:58:10.842,0.054261,12:58:10.842,0.163422
12:58:10.843,0.002969,12:58:10.843,0.049,12:58:10.843,0.19137
12:58:10.844,0.003297,12:58:10.844,0.055905,12:58:10.844,0.18315
12:58:10.845,0.003626,12:58:10.845,0.067084,12:58:10.845,0.168025
12:58:10.846,0.003955,12:58:10.846,0.061166,12:58:10.846,0.153558
12:58:10.847,0.001653,12:58:10.847,0.077606,12:58:10.847,0.18874
12:58:10.848,0.000338,12:58:10.848,0.104239,12:58:10.848,0.214715
12:58:10.849,0.002311,12:58:10.849,0.111143,12:58:10.849,0.201234
12:58:10.850,0.001325,12:58:10.850,0.109171,12:58:10.850,0.205509
12:58:10.851,0.001982,12:58:10.851,0.076619,12:58:10.851,0.185123
12:58:10.852,0.003626,12:58:10.852,0.076291,12:58:10.852,0.193343
12:58:10.853,0.004941,12:58:10.853,0.065769,12:58:10.853,0.179205
12:58:10.854,0.003626,12:58:10.854,0.047028,12:58:10.854,0.194329
12:58:10.855,0.003626,12:58:10.855,0.043411,12:58:10.855,0.186438
12:58:10.856,0.002311,12:58:10.856,0.055248,12:58:10.856,0.194001
12:58:10.857,0.004284,12:58:10.857,0.046699,12:58:10.857,0.176903
12:58:10.858,0.003626,12:58:10.858,0.029272,12:58:10.858,0.152901
12:58:10.859,0.002311,12:58:10.859,0.037821,12:58:10.859,0.153887
12:58:10.860,0.002969,12:58:10.860,0.035191,12:58:10.860,0.145996
12:58:10.861,0.003955,12:58:10.861,0.041438,12:58:10.861,0.174601
12:58:10.862,0.00527,12:58:10.862,0.040452,12:58:10.862,0.182493
12:58:10.863,0.002311,12:58:10.863,0.047356,12:58:10.863,0.177232
12:58:10.864,0.002969,12:58:10.864,0.064125,12:58:10.864,0.168683
12:58:10.865,0.002311,12:58:10.865,0.068071,12:58:10.865,0.160134
12:58:10.866,0.001982,12:58:10.866,0.067084,12:58:10.866,0.170985
12:58:10.867,0.00264,12:58:10.867,0.088456,12:58:10.867,0.177561
12:58:10.868,0.002311,12:58:10.868,0.105883,12:58:10.868,0.202878
12:58:10.869,0.003626,12:58:10.869,0.091744,12:58:10.869,0.21866
12:58:10.870,0.003297,12:58:10.870,0.085826,12:58:10.870,0.22162
12:58:10.871,0.003297,12:58:10.871,0.07925,12:58:10.871,0.190055
12:58:10.872,0.003297,12:58:10.872,0.072016,12:58:10.872,0.186438
12:58:10.873,0.003297,12:58:10.873,0.051631,12:58:10.873,0.183808
12:58:10.874,0.003297,12:58:10.874,0.049658,12:58:10.874,0.193014
12:58:10.875,0.001653,12:58:10.875,0.053604,12:58:10.875,0.182493
12:58:10.876,0.003297,12:58:10.876,0.060837,12:58:10.876,0.192028
12:58:10.877,0.001653,12:58:10.877,0.043411,12:58:10.877,0.184465
12:58:10.878,0.003297,12:58:10.878,0.029272,12:58:10.878,0.167039
12:58:10.879,0.003955,12:58:10.879,0.034204,12:58:10.879,0.161121
12:58:10.880,0.003955,12:58:10.880,0.036506,12:58:10.880,0.154874
12:58:10.881,0.003626,12:58:10.881,0.03256,12:58:10.881,0.181506
12:58:10.882,0.001653,12:58:10.882,0.036177,12:58:10.882,0.1723
12:58:10.883,0.001982,12:58:10.883,0.057878,12:58:10.883,0.167039
12:58:10.884,0.00264,12:58:10.884,0.071687,12:58:10.884,0.168683
12:58:10.885,0.002969,12:58:10.885,0.058535,12:58:10.885,0.17493
12:58:10.886,0.003626,12:58:10.886,0.063796,12:58:10.886,0.1723
12:58:10.887,0.004284,12:58:10.887,0.082867,12:58:10.887,0.182493
12:58:10.888,0.003955,12:58:10.888,0.095032,12:58:10.888,0.218003
12:58:10.889,0.002311,12:58:10.889,0.082209,12:58:10.889,0.218989
12:58:10.890,0.001982,12:58:10.890,0.100293,12:58:10.890,0.213729
12:58:10.891,0.001653,12:58:10.891,0.070372,12:58:10.891,0.169998
12:58:10.892,0.002311,12:58:10.892,0.068728,12:58:10.892,0.183479
12:58:10.893,0.002969,12:58:10.893,0.067413,12:58:10.893,0.181177
12:58:10.894,0.00264,12:58:10.894,0.05722,12:58:10.894,0.186767
12:58:10.895,0.002311,12:58:10.895,0.060179,12:58:10.895,0.185781
12:58:10.896,0.003955,12:58:10.896,0.049,12:58:10.896,0.212742
12:58:10.897,0.003297,12:58:10.897,0.034533,12:58:10.897,0.204851
12:58:10.898,0.00264,12:58:10.898,0.028944,12:58:10.898,0.16145
12:58:10.899,0.001982,12:58:10.899,0.033218,12:58:10.899,0.154874
12:58:10.900,0.001653,12:58:10.900,0.024012,12:58:10.900,0.163422
12:58:10.901,0.001982,12:58:10.901,0.042096,12:58:10.901,0.176903
12:58:10.902,0.001325,12:58:10.902,0.063139,12:58:10.902,0.162765
12:58:10.903,0.001982,12:58:10.903,0.057878,12:58:10.903,0.173944
12:58:10.904,0.002969,12:58:10.904,0.063139,12:58:10.904,0.186109
12:58:10.905,0.00527,12:58:10.905,0.061495,12:58:10.905,0.175588
12:58:10.906,0.002969,12:58:10.906,0.066427,12:58:10.906,0.163751
12:58:10.907,0.004284,12:58:10.907,0.077935,12:58:10.907,0.181177
12:58:10.908,0.002969,12:58:10.908,0.091087,12:58:10.908,0.219318
12:58:10.909,0.001653,12:58:10.909,0.087141,12:58:10.909,0.223264
12:58:10.910,0.00264,12:58:10.910,0.101608,12:58:10.910,0.200577
12:58:10.911,0.00264,12:58:10.911,0.091744,12:58:10.911,0.164409
12:58:10.912,0.002969,12:58:10.912,0.065769,12:58:10.912,0.204193
12:58:10.913,0.003297,12:58:10.913,0.060837,12:58:10.913,0.187425
12:58:10.914,0.003955,12:58:10.914,0.060179,12:58:10.914,0.180191
12:58:10.915,0.003297,12:58:10.915,0.048343,12:58:10.915,0.197946
12:58:10.916,0.001982,12:58:10.916,0.037492,12:58:10.916,0.207153
12:58:10.917,0.002311,12:58:10.917,0.040452,12:58:10.917,0.184794
12:58:10.918,0.001982,12:58:10.918,0.031903,12:58:10.918,0.143694
12:58:10.919,0.002311,12:58:10.919,0.031574,12:58:10.919,0.163751
12:58:10.920,0.001325,12:58:10.920,0.033876,12:58:10.920,0.162107
12:58:10.921,0.001653,12:58:10.921,0.048343,12:58:10.921,0.179205
12:58:10.922,0.003955,12:58:10.922,0.052946,12:58:10.922,0.177561
12:58:10.923,0.003955,12:58:10.923,0.048672,12:58:10.923,0.187096
