Time,Voltage_1,Time 1,Voltage_2,Time 2,Voltage_0
14:21:15.466,1.016133,14:21:15.466,35.695857,14:21:15.466,0.001325
14:21:15.467,0.982365,14:21:15.467,35.678973,14:21:15.467,0.003626
14:21:15.468,1.049901,14:21:15.468,35.543901,14:21:15.468,0.002311
14:21:15.469,1.066785,14:21:15.469,35.459481,14:21:15.469,0.002311
14:21:15.470,1.033017,14:21:15.470,35.611437,14:21:15.470,0.00264
14:21:15.471,1.083669,14:21:15.471,35.577669,14:21:15.471,0.00264
14:21:15.472,1.117437,14:21:15.472,35.391945,14:21:15.472,0.002311
14:21:15.473,1.184973,14:21:15.473,35.341293,14:21:15.473,0.002311
14:21:15.474,1.033017,14:21:15.474,35.527017,14:21:15.474,0.00264
14:21:15.475,1.117437,14:21:15.475,35.459481,14:21:15.475,0.003297
14:21:15.476,1.151205,14:21:15.476,35.307525,14:21:15.476,0.004284
14:21:15.477,1.100553,14:21:15.477,35.273757,14:21:15.477,0.002969
14:21:15.478,1.066785,14:21:15.478,35.307525,14:21:15.478,0.003955
14:21:15.479,1.033017,14:21:15.479,35.273757,14:21:15.479,0.003297
14:21:15.480,1.117437,14:21:15.480,35.172453,14:21:15.480,0.002969
14:21:15.481,1.033017,14:21:15.481,35.172453,14:21:15.481,0.002311
14:21:15.482,1.066785,14:21:15.482,35.15557,14:21:15.482,0.003626
14:21:15.483,0.999249,14:21:15.483,35.104918,14:21:15.483,0.00264
14:21:15.484,0.982365,14:21:15.484,35.037382,14:21:15.484,0.002969
14:21:15.485,0.999249,14:21:15.485,35.020498,14:21:15.485,0.002311
14:21:15.486,0.982365,14:21:15.486,35.020498,14:21:15.486,0.002969
14:21:15.487,0.965481,14:21:15.487,35.020498,14:21:15.487,0.001982
14:21:15.488,1.049901,14:21:15.488,34.952962,14:21:15.488,0.001653
14:21:15.489,1.016133,14:21:15.489,34.885426,14:21:15.489,0.003626
14:21:15.490,0.982365,14:21:15.490,34.969846,14:21:15.490,0.00264
14:21:15.491,0.948597,14:21:15.491,34.919194,14:21:15.491,0.001982
14:21:15.492,0.999249,14:21:15.492,34.784122,14:21:15.492,0.002969
14:21:15.493,0.965481,14:21:15.493,34.73347,14:21:15.493,0.002969
14:21:15.494,1.016133,14:21:15.494,34.801006,14:21:15.494,0.003297
14:21:15.495,0.948597,14:21:15.495,34.750354,14:21:15.495,0.004612
14:21:15.496,0.982365,14:21:15.496,34.64905,14:21:15.496,0.001653
14:21:15.497,0.965481,14:21:15.497,34.598398,14:21:15.497,0.002311
14:21:15.498,0.830409,14:21:15.498,34.530862,14:21:15.498,0.002311
14:21:15.499,0.914829,14:21:15.499,34.547746,14:21:15.499,0.00264
14:21:15.500,0.948597,14:21:15.500,34.429558,14:21:15.500,0.001653
14:21:15.501,0.931713,14:21:15.501,34.31137,14:21:15.501,0.002311
14:21:15.502,0.897945,14:21:15.502,34.277602,14:21:15.502,0.00264
14:21:15.503,0.830409,14:21:15.503,34.378906,14:21:15.503,0.002311
14:21:15.504,0.897945,14:21:15.504,34.31137,14:21:15.504,0.000996
14:21:15.505,0.847293,14:21:15.505,34.294486,14:21:15.505,0.002969
14:21:15.506,0.897945,14:21:15.506,34.193182,14:21:15.506,0.002311
14:21:15.507,0.796641,14:21:15.507,34.243834,14:21:15.507,0.001982
14:21:15.508,0.864177,14:21:15.508,34.125646,14:21:15.508,0.001982
14:21:15.509,0.897945,14:21:15.509,34.091878,14:21:15.509,0.002311
14:21:15.510,0.914829,14:21:15.510,34.041226,14:21:15.510,0.002311
14:21:15.511,0.897945,14:21:15.511,34.193182,14:21:15.511,0.002311
14:21:15.512,0.948597,14:21:15.512,33.956806,14:21:15.512,0.003626
14:21:15.513,0.948597,14:21:15.513,33.939922,14:21:15.513,0.002311
14:21:15.514,0.948597,14:21:15.514,33.990574,14:21:15.514,0.003626
14:21:15.515,0.948597,14:21:15.515,34.041226,14:21:15.515,0.002311
14:21:15.516,0.948597,14:21:15.516,33.88927,14:21:15.516,0.003297
14:21:15.517,0.965481,14:21:15.517,33.872386,14:21:15.517,0.001653
14:21:15.518,0.881061,14:21:15.518,33.838618,14:21:15.518,0.00264
14:21:15.519,0.931713,14:21:15.519,33.838618,14:21:15.519,0.004284
14:21:15.520,0.965481,14:21:15.520,33.703546,14:21:15.520,0.001653
14:21:15.521,0.965481,14:21:15.521,33.652894,14:21:15.521,0.002969
14:21:15.522,0.914829,14:21:15.522,33.703546,14:21:15.522,0.003297
