Time,Voltage_1,Time 1,Voltage_2,Time 2,Voltage_0
13:01:55.465,1.843449,13:01:55.465,40.136347,13:01:55.465,0.002311
13:01:55.466,1.843449,13:01:55.466,40.001275,13:01:55.466,0.003626
13:01:55.467,1.860333,13:01:55.467,39.916855,13:01:55.467,0.000996
13:01:55.468,1.843449,13:01:55.468,39.916855,13:01:55.468,0.004284
13:01:55.469,1.708377,13:01:55.469,39.984391,13:01:55.469,0.001653
13:01:55.470,1.843449,13:01:55.470,39.866203,13:01:55.470,0.002311
13:01:55.471,1.860333,13:01:55.471,39.815551,13:01:55.471,0.00527
13:01:55.472,1.894101,13:01:55.472,39.697363,13:01:55.472,0.002969
13:01:55.473,1.759029,13:01:55.473,39.984391,13:01:55.473,0.003297
13:01:55.474,1.809681,13:01:55.474,39.714247,13:01:55.474,0.002969
13:01:55.475,1.792797,13:01:55.475,39.714247,13:01:55.475,0.003626
13:01:55.476,1.894101,13:01:55.476,39.663595,13:01:55.476,0.004284
13:01:55.477,1.775913,13:01:55.477,39.933739,13:01:55.477,0.004284
13:01:55.478,1.826565,13:01:55.478,39.748015,13:01:55.478,0.002311
13:01:55.479,1.860333,13:01:55.479,39.697363,13:01:55.479,0.002969
13:01:55.480,1.910985,13:01:55.480,39.612943,13:01:55.480,0.003297
13:01:55.481,1.944753,13:01:55.481,39.883087,13:01:55.481,0.003955
13:01:55.482,1.944753,13:01:55.482,39.748015,13:01:55.482,0.003297
13:01:55.483,1.961637,13:01:55.483,39.646711,13:01:55.483,0.002969
13:01:55.484,1.944753,13:01:55.484,39.663595,13:01:55.484,0.003297
13:01:55.485,1.927869,13:01:55.485,39.832435,13:01:55.485,0.003297
13:01:55.486,2.012289,13:01:55.486,39.697363,13:01:55.486,0.003297
13:01:55.487,2.012289,13:01:55.487,39.663595,13:01:55.487,0.00264
13:01:55.488,2.012289,13:01:55.488,39.612943,13:01:55.488,0.002311
13:01:55.489,1.927869,13:01:55.489,39.866203,13:01:55.489,0.002311
13:01:55.490,1.978521,13:01:55.490,39.697363,13:01:55.490,0.001982
13:01:55.491,1.927869,13:01:55.491,39.646711,13:01:55.491,0.001982
13:01:55.492,1.978521,13:01:55.492,39.562291,13:01:55.492,0.002969
13:01:55.493,1.910985,13:01:55.493,39.680479,13:01:55.493,0.001982
13:01:55.494,1.910985,13:01:55.494,39.629827,13:01:55.494,0.00264
13:01:55.495,1.910985,13:01:55.495,39.477872,13:01:55.495,0.001653
13:01:55.496,1.894101,13:01:55.496,39.494756,13:01:55.496,0.003626
13:01:55.497,1.809681,13:01:55.497,39.646711,13:01:55.497,0.003626
13:01:55.498,1.877217,13:01:55.498,39.562291,13:01:55.498,0.003626
13:01:55.499,1.927869,13:01:55.499,39.477872,13:01:55.499,0.002969
