Time,Voltage_1,Time 1,Voltage_2,Time 2,Voltage_0,MBP
12:33:12.860,1.505769,12:33:12.860,39.393452,12:33:12.860,0.001653,65
12:33:12.861,1.488885,12:33:12.861,39.359684,12:33:12.861,0.002311,65
12:33:12.862,1.522653,12:33:12.862,39.241496,12:33:12.862,0.003297,65
12:33:12.863,1.505769,12:33:12.863,39.25838,12:33:12.863,0.003297,65
12:33:12.864,1.370697,12:33:12.864,39.376568,12:33:12.864,0.001982,65
12:33:12.865,1.438233,12:33:12.865,39.309032,12:33:12.865,0.002311,65
12:33:12.866,1.472001,12:33:12.866,39.241496,12:33:12.866,0.004284,65
12:33:12.867,1.404465,12:33:12.867,39.123308,12:33:12.867,0.003626,65
12:33:12.868,1.387581,12:33:12.868,39.309032,12:33:12.868,0.00264,65
12:33:12.869,1.421349,12:33:12.869,39.292148,12:33:12.869,0.003297,65
12:33:12.870,1.387581,12:33:12.870,39.157076,12:33:12.870,0.00264,65
12:33:12.871,1.438233,12:33:12.871,39.08954,12:33:12.871,0.003626,65
12:33:12.872,1.336929,12:33:12.872,39.376568,12:33:12.872,0.00264,65
12:33:12.873,1.488885,12:33:12.873,39.241496,12:33:12.873,0.00264,65
12:33:12.874,1.472001,12:33:12.874,39.157076,12:33:12.874,0.002311,65
12:33:12.875,1.472001,12:33:12.875,39.157076,12:33:12.875,0.00264,65
12:33:12.876,1.421349,12:33:12.876,39.3428,12:33:12.876,0.001982,65
12:33:12.877,1.455117,12:33:12.877,39.325916,12:33:12.877,0.003626,65
12:33:12.878,1.505769,12:33:12.878,39.140192,12:33:12.878,0.003626,65
12:33:12.879,1.488885,12:33:12.879,39.157076,12:33:12.879,0.00264,65
12:33:12.880,1.488885,12:33:12.880,39.3428,12:33:12.880,0.002969,65
12:33:12.881,1.539537,12:33:12.881,39.359684,12:33:12.881,0.001653,65
12:33:12.882,1.573305,12:33:12.882,39.157076,12:33:12.882,0.003626,65
12:33:12.883,1.488885,12:33:12.883,39.106424,12:33:12.883,0.002311,65
