Time,Voltage_1,Time 1,Voltage_2,Time 2,Voltage_0
17:44:51.939,1.978521,17:44:51.939,44.205389,17:44:51.938,0.003955
17:44:51.940,1.775913,17:44:51.940,44.171621,17:44:51.939,0.003297
17:44:51.941,1.522653,17:44:51.941,44.036549,17:44:51.940,0.003626
17:44:51.942,1.387581,17:44:51.942,44.188505,17:44:51.941,0.001982
17:44:51.943,1.134321,17:44:51.943,44.120969,17:44:51.942,0.002311
17:44:51.944,1.083669,17:44:51.944,44.357345,17:44:51.943,0.002969
17:44:51.945,1.033017,17:44:51.945,44.222273,17:44:51.944,0.001982
17:44:51.946,1.066785,17:44:51.946,44.239157,17:44:51.945,0.002311
17:44:51.947,0.965481,17:44:51.947,44.323577,17:44:51.946,0.003297
17:44:51.948,0.982365,17:44:51.948,44.374229,17:44:51.947,0.002969
17:44:51.949,1.083669,17:44:51.949,44.256041,17:44:51.948,0.001653
17:44:51.950,1.218741,17:44:51.950,44.154737,17:44:51.949,0.002969
17:44:51.951,1.320045,17:44:51.951,44.340461,17:44:51.950,0.002311
17:44:51.952,1.472001,17:44:51.952,44.374229,17:44:51.951,0.001325
17:44:51.953,1.640841,17:44:51.953,44.188505,17:44:51.952,0.003297
17:44:51.954,1.792797,17:44:51.954,44.154737,17:44:51.953,0.003297
17:44:51.955,1.961637,17:44:51.955,44.239157,17:44:51.954,0.002969
17:44:51.956,2.130477,17:44:51.956,44.171621,17:44:51.955,0.00264
17:44:51.957,2.333085,17:44:51.957,44.019665,17:44:51.956,0.003297
17:44:51.958,2.468157,17:44:51.958,44.002781,17:44:51.957,0.00264
17:44:51.959,2.603229,17:44:51.959,44.154737,17:44:51.958,0.004612
17:44:51.960,2.687649,17:44:51.960,44.120969,17:44:51.959,0.003297
17:44:51.961,2.755184,17:44:51.961,44.019665,17:44:51.960,0.002311
17:44:51.962,2.82272,17:44:51.962,44.019665,17:44:51.961,0.001653
17:44:51.963,2.82272,17:44:51.963,44.087201,17:44:51.962,0.003626
17:44:51.964,2.890256,17:44:51.964,44.036549,17:44:51.963,0.001982
17:44:51.965,2.856488,17:44:51.965,44.053433,17:44:51.964,0.002969
17:44:51.966,2.788952,17:44:51.966,44.002781,17:44:51.965,0.002969
17:44:51.967,2.721416,17:44:51.967,43.985897,17:44:51.966,0.00264
17:44:51.968,2.687649,17:44:51.968,44.104085,17:44:51.967,0.004612
17:44:51.969,2.620113,17:44:51.969,44.087201,17:44:51.968,0.00264
17:44:51.970,2.518809,17:44:51.970,43.952129,17:44:51.969,0.002311
17:44:51.971,2.366853,17:44:51.971,44.002781,17:44:51.970,0.002969
17:44:51.972,2.181129,17:44:51.972,44.120969,17:44:51.971,0.002969
17:44:51.973,2.198013,17:44:51.973,43.935245,17:44:51.972,0.001982
17:44:51.974,2.062941,17:44:51.974,43.800173,17:44:51.973,0.00264
17:44:51.975,1.910985,17:44:51.975,43.884593,17:44:51.974,0.003297
17:44:51.976,1.877217,17:44:51.976,43.867709,17:44:51.975,0.002311
17:44:51.977,1.809681,17:44:51.977,43.766405,17:44:51.976,0.001653
17:44:51.978,1.775913,17:44:51.978,43.698869,17:44:51.977,0.00264
17:44:51.979,1.691493,17:44:51.979,43.783289,17:44:51.978,0.002311
17:44:51.980,1.708377,17:44:51.980,43.817057,17:44:51.979,0.002311
17:44:51.981,1.742145,17:44:51.981,43.698869,17:44:51.980,0.003297
17:44:51.982,1.759029,17:44:51.982,43.648217,17:44:51.981,0.001982
17:44:51.983,1.792797,17:44:51.983,43.766405,17:44:51.982,0.00264
17:44:51.984,1.843449,17:44:51.984,43.783289,17:44:51.983,0.002969
17:44:51.985,1.927869,17:44:51.985,43.580681,17:44:51.984,0.002969
17:44:51.986,2.113593,17:44:51.986,43.53003,17:44:51.985,0.002969
17:44:51.987,2.147361,17:44:51.987,43.563797,17:44:51.986,0.004941
17:44:51.988,2.147361,17:44:51.988,43.496262,17:44:51.987,0.00264
17:44:51.989,2.349969,17:44:51.989,43.293654,17:44:51.988,0.003297
17:44:51.990,2.434389,17:44:51.990,43.209234,17:44:51.989,0.003297
17:44:51.991,2.417505,17:44:51.991,43.293654,17:44:51.990,0.00264
17:44:51.992,2.468157,17:44:51.992,43.327422,17:44:51.991,0.003297
17:44:51.993,2.501925,17:44:51.993,43.057278,17:44:51.992,0.004284
17:44:51.994,2.636997,17:44:51.994,43.040394,17:44:51.993,0.001653
17:44:51.995,2.603229,17:44:51.995,43.10793,17:44:51.994,0.002311
17:44:51.996,2.518809,17:44:51.996,43.074162,17:44:51.995,0.002969
17:44:51.997,2.569461,17:44:51.997,42.922206,17:44:51.996,0.002311
17:44:51.998,2.586345,17:44:51.998,42.804018,17:44:51.997,0.002311
17:44:51.999,2.552577,17:44:51.999,43.006626,17:44:51.998,0.002969
17:44:52.000,2.451273,17:44:52.000,43.040394,17:44:51.999,0.002969
17:44:52.001,2.485041,17:44:52.001,42.787134,17:44:52.000,0.001982
17:44:52.002,2.366853,17:44:52.002,42.787134,17:44:52.001,0.001982
17:44:52.003,2.349969,17:44:52.003,42.837786,17:44:52.002,0.004612
17:44:52.004,2.181129,17:44:52.004,42.922206,17:44:52.003,0.00264
17:44:52.005,2.198013,17:44:52.005,42.60141,17:44:52.004,0.002311
17:44:52.006,2.198013,17:44:52.006,42.60141,17:44:52.005,0.00264
17:44:52.007,2.130477,17:44:52.007,42.719598,17:44:52.006,0.003955
17:44:52.008,2.079825,17:44:52.008,42.702714,17:44:52.007,0.003626
17:44:52.009,2.113593,17:44:52.009,42.483222,17:44:52.008,0.003626
17:44:52.010,2.062941,17:44:52.010,42.550758,17:44:52.009,0.002969
17:44:52.011,1.978521,17:44:52.011,42.584526,17:44:52.010,0.003626
17:44:52.012,1.978521,17:44:52.012,42.68583,17:44:52.011,0.003297
17:44:52.013,1.961637,17:44:52.013,42.381918,17:44:52.012,0.002969
17:44:52.014,1.927869,17:44:52.014,42.331266,17:44:52.013,0.002311
17:44:52.015,1.995405,17:44:52.015,42.398802,17:44:52.014,0.003297
