Time,Voltage_1,Time 1,Voltage_2,Time 2,Voltage_0
13:24:25.646,1.590189,13:24:25.646,31.390439,13:24:25.646,0.003955
13:24:25.647,1.657725,13:24:25.647,31.356671,13:24:25.647,0.002969
13:24:25.648,1.623957,13:24:25.648,31.272251,13:24:25.648,0.003297
13:24:25.649,1.573305,13:24:25.649,31.457975,13:24:25.649,0.002969
13:24:25.650,1.607073,13:24:25.650,31.356671,13:24:25.650,0.003297
13:24:25.651,1.573305,13:24:25.651,31.238483,13:24:25.651,0.002969
13:24:25.652,1.556421,13:24:25.652,31.187831,13:24:25.652,0.003626
13:24:25.653,1.522653,13:24:25.653,31.289135,13:24:25.653,0.003955
13:24:25.654,1.556421,13:24:25.654,31.289135,13:24:25.654,0.002969
13:24:25.655,1.522653,13:24:25.655,31.238483,13:24:25.655,0.002969
13:24:25.656,1.573305,13:24:25.656,31.272251,13:24:25.656,0.002969
13:24:25.657,1.539537,13:24:25.657,31.306019,13:24:25.657,0.003626
13:24:25.658,1.522653,13:24:25.658,31.204715,13:24:25.658,0.002311
13:24:25.659,1.573305,13:24:25.659,31.255367,13:24:25.659,0.003955
13:24:25.660,1.556421,13:24:25.660,31.187831,13:24:25.660,0.003297
13:24:25.661,1.539537,13:24:25.661,31.154063,13:24:25.661,0.002969
13:24:25.662,1.522653,13:24:25.662,31.187831,13:24:25.662,0.001653
13:24:25.663,1.556421,13:24:25.663,31.170947,13:24:25.663,0.003955
13:24:25.664,1.590189,13:24:25.664,31.154063,13:24:25.664,0.002969
13:24:25.665,1.539537,13:24:25.665,31.238483,13:24:25.665,0.003955
13:24:25.666,1.488885,13:24:25.666,31.306019,13:24:25.666,0.00264
13:24:25.667,1.623957,13:24:25.667,31.204715,13:24:25.667,0.003297
13:24:25.668,1.607073,13:24:25.668,31.154063,13:24:25.668,0.002969
13:24:25.669,1.556421,13:24:25.669,31.289135,13:24:25.669,0.00264
13:24:25.670,1.522653,13:24:25.670,31.339787,13:24:25.670,0.00264
13:24:25.671,1.505769,13:24:25.671,31.204715,13:24:25.671,0.001982
13:24:25.672,1.522653,13:24:25.672,31.069643,13:24:25.672,0.003626
13:24:25.673,1.522653,13:24:25.673,31.170947,13:24:25.673,0.002311
13:24:25.674,1.488885,13:24:25.674,31.120295,13:24:25.674,0.003626
13:24:25.675,1.472001,13:24:25.675,31.086527,13:24:25.675,0.002969
13:24:25.676,1.505769,13:24:25.676,31.035875,13:24:25.676,0.003297
13:24:25.677,1.404465,13:24:25.677,31.069643,13:24:25.677,0.003626
13:24:25.678,1.404465,13:24:25.678,31.187831,13:24:25.678,0.002969
13:24:25.679,1.404465,13:24:25.679,31.002107,13:24:25.679,0.001653
13:24:25.680,1.488885,13:24:25.680,30.968339,13:24:25.680,0.004284
13:24:25.681,1.455117,13:24:25.681,31.069643,13:24:25.681,0.001982
13:24:25.682,1.404465,13:24:25.682,31.103411,13:24:25.682,0.003955
13:24:25.683,1.505769,13:24:25.683,31.103411,13:24:25.683,0.003297
13:24:25.684,1.472001,13:24:25.684,30.968339,13:24:25.684,0.003955
13:24:25.685,1.488885,13:24:25.685,31.103411,13:24:25.685,0.003626
13:24:25.686,1.488885,13:24:25.686,31.052759,13:24:25.686,0.004284
13:24:25.687,1.505769,13:24:25.687,31.086527,13:24:25.687,0.003297
13:24:25.688,1.539537,13:24:25.688,30.951455,13:24:25.688,0.003626
13:24:25.689,1.472001,13:24:25.689,31.052759,13:24:25.689,0.003955
13:24:25.690,1.539537,13:24:25.690,31.052759,13:24:25.690,0.00264
13:24:25.691,1.472001,13:24:25.691,30.985223,13:24:25.691,0.002969
13:24:25.692,1.472001,13:24:25.692,30.968339,13:24:25.692,0.002969
13:24:25.693,1.421349,13:24:25.693,31.086527,13:24:25.693,0.002311
13:24:25.694,1.455117,13:24:25.694,31.052759,13:24:25.694,0.003297
13:24:25.695,1.421349,13:24:25.695,30.985223,13:24:25.695,0.002311
13:24:25.696,1.455117,13:24:25.696,30.883919,13:24:25.696,0.002969
13:24:25.697,1.404465,13:24:25.697,30.917687,13:24:25.697,0.002311
13:24:25.698,1.404465,13:24:25.698,30.951455,13:24:25.698,0.002311
13:24:25.699,1.438233,13:24:25.699,30.934571,13:24:25.699,0.001982
13:24:25.700,1.404465,13:24:25.700,30.934571,13:24:25.700,0.002969
13:24:25.701,1.488885,13:24:25.701,30.951455,13:24:25.701,0.004284
13:24:25.702,1.438233,13:24:25.702,30.867035,13:24:25.702,0.00264
13:24:25.703,1.455117,13:24:25.703,30.850151,13:24:25.703,0.002969
13:24:25.704,1.472001,13:24:25.704,30.850151,13:24:25.704,0.002311
13:24:25.705,1.472001,13:24:25.705,30.782615,13:24:25.705,0.003626
13:24:25.706,1.438233,13:24:25.706,30.850151,13:24:25.706,0.002969
13:24:25.707,1.539537,13:24:25.707,30.782615,13:24:25.707,0.003297
13:24:25.708,1.488885,13:24:25.708,30.748847,13:24:25.708,0.002311
13:24:25.709,1.472001,13:24:25.709,30.833267,13:24:25.709,0.003297
13:24:25.710,1.421349,13:24:25.710,30.799499,13:24:25.710,0.00264
13:24:25.711,1.455117,13:24:25.711,30.715079,13:24:25.711,0.003955
13:24:25.712,1.472001,13:24:25.712,30.731963,13:24:25.712,0.002311
13:24:25.713,1.404465,13:24:25.713,30.748847,13:24:25.713,0.002969
13:24:25.714,1.421349,13:24:25.714,30.782615,13:24:25.714,0.00264
13:24:25.715,1.370697,13:24:25.715,30.580007,13:24:25.715,0.002311
13:24:25.716,1.438233,13:24:25.716,30.715079,13:24:25.716,0.00264
13:24:25.717,1.370697,13:24:25.717,30.731963,13:24:25.717,0.001325
13:24:25.718,1.320045,13:24:25.718,30.731963,13:24:25.718,0.002969
13:24:25.719,1.320045,13:24:25.719,30.681311,13:24:25.719,0.003626
13:24:25.720,1.387581,13:24:25.720,30.613775,13:24:25.720,0.003955
13:24:25.721,1.421349,13:24:25.721,30.681311,13:24:25.721,0.00264
13:24:25.722,1.387581,13:24:25.722,30.698195,13:24:25.722,0.001982
13:24:25.723,1.353813,13:24:25.723,30.698195,13:24:25.723,0.003297
13:24:25.724,1.438233,13:24:25.724,30.630659,13:24:25.724,0.003626
13:24:25.725,1.421349,13:24:25.725,30.596891,13:24:25.725,0.003626
13:24:25.726,1.438233,13:24:25.726,30.596891,13:24:25.726,0.004284
13:24:25.727,1.404465,13:24:25.727,30.546239,13:24:25.727,0.002969
13:24:25.728,1.438233,13:24:25.728,30.529355,13:24:25.728,0.003955
13:24:25.729,1.438233,13:24:25.729,30.563123,13:24:25.729,0.003955
13:24:25.730,1.370697,13:24:25.730,30.512471,13:24:25.730,0.003297
13:24:25.731,1.387581,13:24:25.731,30.411168,13:24:25.731,0.003955
13:24:25.732,1.336929,13:24:25.732,30.478703,13:24:25.732,0.003626
13:24:25.733,1.353813,13:24:25.733,30.444936,13:24:25.733,0.003955
13:24:25.734,1.320045,13:24:25.734,30.563123,13:24:25.734,0.004284
13:24:25.735,1.303161,13:24:25.735,30.444936,13:24:25.735,0.003955
13:24:25.736,1.303161,13:24:25.736,30.46182,13:24:25.736,0.001982
13:24:25.737,1.320045,13:24:25.737,30.428052,13:24:25.737,0.003297
13:24:25.738,1.336929,13:24:25.738,30.3774,13:24:25.738,0.00264
13:24:25.739,1.286277,13:24:25.739,30.3774,13:24:25.739,0.002311
13:24:25.740,1.370697,13:24:25.740,30.3774,13:24:25.740,0.003626
13:24:25.741,1.320045,13:24:25.741,30.394284,13:24:25.741,0.002969
13:24:25.742,1.269393,13:24:25.742,30.495587,13:24:25.742,0.002969
13:24:25.743,1.387581,13:24:25.743,30.3774,13:24:25.743,0.003297
13:24:25.744,1.370697,13:24:25.744,30.259212,13:24:25.744,0.002969
